adoptionfraction,days
0.028919554,0
0.02846871,0.249999984
0.08447721,0.499999984
0.084266788,0.749999984
0.001162513,0.999999984
0.001828172,1.249999984
0.001436731,1.499999984
0.002039811,1.749999984
0.002267806,1.999999984
0.002217367,2.249999984
0.003455806,2.499999984
0.00642265,2.749999984
0.033583127,2.999999984
0.006716028,3.249999984
0.003916255,3.499999984
0.006098136,3.749999984
0.006705139,3.999999984
0.005369988,4.249999984
0.005397143,4.499999984
0.004250262,4.749999984
0.006159041,4.999999984
0.00451429,5.249999984
0.005444908,5.499999984
0.010658781,5.749999984
0.008187935,5.999999984
0.005839281,6.249999984
0.004775067,6.499999984
0.00618248,6.749999984
0.010656263,6.999999984
0.008435784,7.249999984
0.006895404,7.499999984
0.037360916,7.749999984
0.00964415,7.999999984
0.009996896,8.249999984
0.010341168,8.499999984
0.008957119,8.749999984
0.007940265,8.999999984
0.011067667,9.249999984
0.013265244,9.499999984
0.010030403,9.749999984
0.009859335,9.999999984
0.013395769,10.24999998
0.014092911,10.49999998
0.012560244,10.74999998
0.010540662,10.99999998
0.011832715,11.24999998
0.041071724,11.49999998
0.014360006,11.74999998
0.012215944,11.99999998
0.011603615,12.24999998
0.012024301,12.49999998
0.014699324,12.74999998
0.016061573,12.99999998
0.013948209,13.24999998
0.012189126,13.49999998
0.009211819,13.74999998
0.039437605,13.99999998
0.0154851,14.24999998
0.014138901,14.49999998
0.013737953,14.74999998
0.011230844,14.99999998
0.017048099,15.24999998
0.015862491,15.49999998
0.014183514,15.74999998
0.015867927,15.99999998
0.013919513,16.24999998
0.015401734,16.49999998
0.019656033,16.74999998
0.012826458,16.99999998
0.015658865,17.24999998
0.018730978,17.49999998
0.028158399,17.74999998
0.023193057,17.99999998
0.015532017,18.24999998
0.019531432,18.49999998
0.02295672,18.74999998
0.024071423,18.99999998
0.029586085,19.24999998
0.026645908,19.49999998
0.027383042,19.74999998
0.025721461,19.99999998
0.054167663,20.24999998
0.024946289,20.49999998
0.031456858,20.74999998
0.055995077,20.99999998
0.031098701,21.24999998
0.029358595,21.49999998
0.030281493,21.74999998
0.056292788,21.99999998
0.032053607,22.24999998
0.034042774,22.49999998
0.023602449,22.74999998
0.031592538,22.99999998
0.028890302,23.24999998
0.046867483,23.49999998
0.030658064,23.74999998
0.053395543,23.99999998
0.041177516,24.24999998
0.028188119,24.49999998
0.027188486,24.74999998
0.031350824,24.99999998
0.031401133,25.24999998
0.037080115,25.49999998
0.026336977,25.74999998
0.02775018,25.99999998
0.030372389,26.24999998
0.033997871,26.49999998
0.042890375,26.74999998
0.035414111,26.99999998
0.036288851,27.24999998
0.028731276,27.49999998
0.030427608,27.74999998
0.032037803,27.99999998
0.035404037,28.24999998
0.029104667,28.49999998
0.044696268,28.74999998
0.036366342,28.99999998
0.048681201,29.24999998
0.073273698,29.49999998
0.045731385,29.74999998
0.041356172,29.99999998
0.035569069,30.24999998
0.033999273,30.49999998
0.040431894,30.74999998
0.038807144,30.99999998
0.064941049,31.24999998
0.046052785,31.49999998
0.055567516,31.74999998
0.050645222,31.99999998
0.039495891,32.24999998
0.054419079,32.49999998
0.058586249,32.74999998
0.079349905,32.99999998
0.044511697,33.24999998
0.057852339,33.49999998
0.054942583,33.74999998
0.066110126,33.99999998
0.05824177,34.24999998
0.082760089,34.49999998
0.042070825,34.74999998
0.065495096,34.99999998
0.040302898,35.24999998
0.040235043,35.49999998
0.04889881,35.74999998
0.057272359,35.99999998
0.050779522,36.24999998
0.06910109,36.49999998
0.052868218,36.74999998
0.050159178,36.99999998
0.050704622,37.24999998
0.056623961,37.49999998
0.046419353,37.74999998
0.055389068,37.99999998
0.052531734,38.24999998
0.084521235,38.49999998
0.047428208,38.74999998
0.058625723,38.99999998
0.064745957,39.24999998
0.05945186,39.49999998
0.058196115,39.74999998
0.060777645,39.99999998
0.074449919,40.24999998
0.07272577,40.49999998
0.064339257,40.74999998
0.06968894,40.99999998
0.118896941,41.24999998
0.073894936,41.49999998
0.058777321,41.74999998
0.067788047,41.99999998
0.062881936,42.24999998
0.06257699,42.49999998
0.075302019,42.74999998
0.064335576,42.99999998
0.069664482,43.24999998
0.081767985,43.49999998
0.074362875,43.74999998
0.070148302,43.99999998
0.070251824,44.24999998
0.094479026,44.49999998
0.068388349,44.74999998
0.083157371,44.99999998
0.078540672,45.24999998
0.076342647,45.49999998
0.065144718,45.74999998
0.083879419,45.99999998
0.085938439,46.24999998
0.088732977,46.49999998
0.07675919,46.74999998
0.073427105,46.99999998
0.082273416,47.24999998
0.095765759,47.49999998
0.11277505,47.74999998
0.101856205,47.99999998
0.085314079,48.24999998
0.115610371,48.49999998
0.115891678,48.74999998
0.116112606,48.99999998
0.079464538,49.24999998
0.202550027,49.49999998
0.10761907,49.74999998
0.080143721,49.99999998
0.072702971,50.24999998
0.083870664,50.49999998
0.123793405,50.74999998
0.121593319,50.99999998
0.092109056,51.24999998
0.086679932,51.49999998
0.100115053,51.74999998
0.117232118,51.99999998
0.095266466,52.24999998
0.093994101,52.49999998
0.097522237,52.74999998
0.109662274,52.99999998
0.101680338,53.24999998
0.092221385,53.49999998
0.103564517,53.74999998
0.125333747,53.99999998
0.094755762,54.24999998
0.104026375,54.49999998
0.097554753,54.74999998
0.146442164,54.99999998
0.132284308,55.24999998
0.119908453,55.49999998
0.120127897,55.74999998
0.181103123,55.99999998
0.17298852,56.24999998
0.130791271,56.49999998
0.125532787,56.74999998
0.12800037,56.99999998
0.18503969,57.24999998
0.147896835,57.49999998
0.138090921,57.74999998
0.094361861,57.99999998
0.138336332,58.24999998
0.151299846,58.49999998
0.139103964,58.74999998
0.113628701,58.99999998
0.109417879,59.24999998
0.148477583,59.49999998
0.130978053,59.74999998
0.110075356,59.99999998
0.143686036,60.24999998
0.14694479,60.49999998
0.166589577,60.74999998
0.127512267,60.99999998
0.148088419,61.24999998
0.140673679,61.49999998
0.143150369,61.74999998
0.18429948,61.99999998
0.180479636,62.24999998
0.154083962,62.49999998
0.147079168,62.74999998
0.170499083,62.99999998
0.185967453,63.24999998
0.150344404,63.49999998
0.126297955,63.74999998
0.132993159,63.99999998
0.187790376,64.24999998
0.18525304,64.49999998
0.150638308,64.74999998
0.121643042,64.99999998
0.151451739,65.24999998
0.158334125,65.49999998
0.113990333,65.74999998
0.080307701,65.99999998
0.084576164,66.24999998
0.088858638,66.49999998
0.108995714,66.74999998
0.093108535,66.99999998
0.08866074,67.24999998
0.065320563,67.49999998
